,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Greenland,-6.542046332807077,5.040599595214258,2.9005681607333256,-14.282092178902358,18.66292441562288,33.456450183213484,33.05322152625179,-1.1115680594654145,-0.16872948451761216,-0.19945459782975317,-0.03368168790862881,-0.11954576942948347
England,34.55056008532827,8.021147099493362,7.6976692543376775,0.46291751459742025,4.5937044703815655,-0.44518754751033296,-1.8867554946421137,-2.8452793939928647,1.2740273206294344,-0.42464555009133553,-0.35603498653915416,-0.2887641416566822
Estonia,-35.41120760317578,28.15639946810607,-1.9617565630937808,2.094370089526292,2.003287794341641,-1.6254738303048777,-0.38038277483467064,-0.4229396688794078,-1.2307777011364398,2.0913739641423645,-2.118587676921368,0.21652010134124478
Finland,-36.16709297489987,41.77564949818431,-22.244662571991096,17.365940738881484,30.987578487128225,-3.638712624847966,-3.938542435265002,-0.2547944830354725,-1.4772881631241934,0.1221639466590041,0.9730033682837727,0.2122088423948849
France,27.525149030562453,1.7530430063548659,0.7803442883137637,0.8968385262367007,2.035900015826685,0.009430522476935155,-0.7793180550449925,1.0606221602560333,0.6909393153670597,-0.13799486734299693,0.4148678415067212,-0.02642618836013555
Alsace,24.800580001262396,0.5827527172340403,-2.9624801761033592,-1.3534298845667412,1.4045673864924142,-0.04804629735475541,-0.08833980727293374,1.338333524244662,-0.00815408350167851,0.7877301244502142,-2.1488903570839875,-0.12485329739579099
Auvergne,21.822417904837877,-1.66587875465795,-5.14313783289062,-0.10320641027377286,-4.6336648385972,0.17478176867490486,0.38548193121968566,4.6760764117598965,-1.0149739149945933,2.396874698740162,-0.8365233055784012,-0.36066125565749285
Brittany,47.82104547040211,9.09895435772492,7.171358315577832,6.034286827316119,0.5862268527198148,0.8198934047194893,-1.5582873169286169,-2.297191538968813,1.9738679809016078,-0.3371122141294305,0.1991863853247715,-0.08607764263967255
Corsica,16.90818833477135,-12.75660418113523,-0.5371500138461891,11.08148663782406,0.6079254829827442,4.793541571688124,-4.581519692702748,-1.3971960216747696,-0.9330396221476405,-3.5634595599380683,-0.2851076193823547,-0.07020727420292339
Flanders-Artois,29.795762871695203,2.6135612314628593,1.624729930276497,-0.2665982216494611,4.757393170389779,-5.531375071065528,1.872456977876148,2.141304062596325,-3.033686933071493,-1.096350086808072,0.9978380965691469,-0.3415030670305481
Ile-de-France,26.143743826376237,-3.211327656320485,-5.8745356961359185,1.9586754849740422,-3.838150442543397,-7.351391636009513,6.499327991085405,0.385274926675956,0.12575990929872427,-0.5811220705695451,1.3224092413043762,-0.29371553030872466
Midi-Pyrenees,28.914052335856812,-0.5352325128945856,0.19190285487839454,4.505516283640642,-3.4008882268723117,1.5841673483040237,-1.15196889594474,-1.3122046760019441,1.0825470874485812,1.5502497418131802,1.6803775125012816,-0.5771028027583072
Normandy,43.26630498951577,5.555947814552376,6.554769768410319,7.19698075650491,0.45321669394319397,-1.3361486916699525,1.8488483253940498,-3.5946580249750966,0.17035454500838915,0.9073213638188573,0.8172831452724706,0.1929996550298314
Poitou-Saintonge,42.854799600727205,3.875250812610145,2.830176744539594,8.46718880402279,-3.5047400968037246,4.442836685897746,-2.8552575617643177,0.8381892496700858,-2.197740423372228,-1.9679907514062078,0.4985594937183256,1.4976757874231934
Provence,26.123551878586312,-1.512313416970454,-1.765603798808069,2.8658825165157116,-4.142761153396197,1.5806414403034799,1.3401127778063808,1.4660309653170591,-1.5979479627621298,-1.453324868334903,0.33936573536233927,-0.5145731497374497
Rhone-Alpes,34.223832319410285,6.042086203194013,4.863146652719845,2.2271706362279837,-0.3012768894702136,2.6082584216067235,3.5701041591783427,0.952945480578212,-0.5624927222952485,-1.2624002902143037,0.36247323306223594,-0.2697308488086312
Germany,10.754513879486401,7.605966528820781,6.217175210042603,-8.326131157486305,2.0605434423687656,-1.3052290937071924,-1.664411366810376,1.1744541278684204,0.4492513761594181,-1.0048468497871315,-0.413993746012371,-0.33406326081253424
