,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Flanders-Artois,-0.2731671507277832,0.8440665726631059,0.7505972978403582,0.6498117078988097,-0.018283354071305345,0.46451715459301773,0.2660291655094076,-0.310275051499328,-0.8328423018895811,2.4502699855388514,1.0501483541219512,1.0341383383728509
Ile-de-France,0.13440374898704832,0.54099190951853,1.0916614324861733,0.6188016104429978,0.015858817520793947,1.2038918754057926,-0.5627929181225099,-1.2048750004847133,-0.9302067379885013,-0.1447993755911553,0.8603544417247526,0.6103373955060715
Midi-Pyrenees,0.40696137532959625,0.7335977193860449,0.27801854002962434,0.6528029869467457,0.04427736745192789,-0.7281508521536854,0.2329284769865336,-1.4924116657662374,0.995720556831933,-1.2797909808931764,0.7417462632215862,0.802107042480929
Normandy,-0.5874189025487745,1.0103717937151957,1.1337080802426966,1.056489429416592,0.3079041739387367,0.23661648634874274,0.17415583468580562,-0.7764416162892736,1.4008376117765853,-0.42839337581967246,0.17468319850008926,-0.29587782228605386
Poitou-Saintonge,-0.023747838523813517,0.9059006173120349,0.9826116993637523,1.7849789114618775,0.3197225279186693,-0.95278562039216,-0.0763323017209213,-0.011133713421273176,-0.7268952209718857,2.3212817156816863,-1.1617728545047805,-2.256826430574743
Provence,0.36271573277855973,0.5715283974447564,0.5501643680861745,0.83144153266362,0.44548382588354984,-0.3338681887215164,-0.404009518120686,-0.03760275118791568,-0.9860499042265702,1.1809091097042914,-0.13408997035765094,1.2400478142584503
Rhone-Alpes,-0.5117337998906283,1.1088938803058719,0.6909582837384923,0.5539963806170136,0.7590932286035365,-0.3696469742753394,-0.3680026361615581,-0.11022209987610182,-0.8131126578228253,0.5312440570883822,-0.18111062630072777,0.6812035207200795
Germany,-0.6381999205861211,0.9293820901528582,-0.3810242206387893,-0.5807127065171193,-0.5953032676171639,-0.05060643883922991,-0.3822995332695401,0.22601529985458588,-0.5309657954932698,0.19676892453405712,-0.3935840441259219,0.6408554857272585
North Germany,-1.0024562334697764,1.1806764472708802,-0.9451564754174695,-1.5546706290264425,-0.8176779318048584,-0.31202012046775723,-0.58928807580142,-0.08086435951103496,-0.4396685433609265,-1.9729230735524312,-0.7591760128370816,0.3481248811544992
East Germany,-0.8422217236749507,0.6839901575016066,-0.4871969228449979,-0.9554712847928877,-0.6915232340195461,0.07508426380503544,-0.9472709093580247,0.19861607978687515,-0.5358519843215338,-0.3110469579954798,0.3896570751346479,0.287680027895286
