,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
England,0.0076072803047063575,0.02095983011190848,0.0013718988847323454,4.0825030009441116e-05,0.001113642500085188,0.0003466492671728808,0.000549512943976571,6.437928423398039e-05,0.0051791016851611025,0.005500127504213992,0.011444346025809779,0.003385555717994427
Estonia,0.011013937893393392,0.017039573648344016,0.02938751845090613,0.005002895194377633,7.157812972289365e-06,0.0038014747909365628,0.0011554358313780484,0.04322095970034461,0.017365636191365302,1.2012088580841716e-05,0.008204735630179674,0.0019517926151854193
Finland,0.03220638632357347,0.008769613938010686,0.03517550419427977,0.017646476849429566,0.0006471602762729667,0.020151830905504133,0.2098094292069586,0.0024009726427224277,0.0045324980343063245,0.00989731020257658,0.0015954787351458288,0.000859855343728609
France,9.859064487508864e-06,0.01277777148065899,0.00037221618780844927,0.00038367299263137396,0.00035204718379828787,0.0006502703088460467,0.000498433731800395,0.0009995935386923937,0.001141824726092476,0.0011347966129061403,6.890525668279113e-05,1.4942300450772807e-05
Alsace,0.0021292959889511035,0.009754057283000035,0.0018866712028918467,0.00025987738878170165,2.1658484239486897e-06,0.0013594940198820697,6.208005660275432e-05,0.03994555509170247,0.0009756620856493476,0.001534231326792376,0.0005595833864833901,0.00020865066761672238
Auvergne,0.014987629622029848,0.0036561456310044743,0.004547501429841936,0.004319230416946165,1.5270979771480088e-05,0.0030679262433080394,0.0005488801794048995,0.02026107314721972,0.0006996124245995017,0.0002871372574818772,0.054073458032593044,0.001550339168668595
Brittany,0.0057135818273396245,0.02914711209229582,0.005101796184876771,0.004852059391894033,0.0008514645726847404,0.0007670021353051388,0.00012152184712378772,0.0026116118557927793,0.002128617342803702,0.018135881831767568,0.010262594749278152,0.00012314449821836042
Corsica,0.001946530508062273,0.0005614704302618101,0.015818298539912845,0.00382449993980402,1.4814359895992261e-05,0.0035529776755769695,0.002669208650218491,0.0002430099345446616,0.01572662232436914,0.01965217008423141,0.08230354841919295,0.004815938110554539
Flanders-Artois,0.0007938328961354833,0.007579238075396195,0.005993577697077102,0.00449207718853583,3.5561812350714656e-06,0.00229549135011908,0.0007528884776769338,0.0010241553998181984,0.007379003189539745,0.06387045746843152,0.011732037932606841,0.0113770436477932
Ile-de-France,0.00019217412491248395,0.003113534533664952,0.012677922161465571,0.004073568437094123,2.6755541825302243e-06,0.015418677102851878,0.0033695305179664904,0.015443869859500402,0.009205155057438385,0.0002230516933147709,0.007874571972292667,0.003962890812267391
Midi-Pyrenees,0.0017618889469165585,0.005725166105195812,0.0008222798787255729,0.004533529146453117,2.0856226260351524e-05,0.0056404645052355136,0.0005771880360772991,0.02369460191611867,0.01054744071593292,0.01742409526356935,0.005853058712799859,0.00684442242125003
Normandy,0.003670861351825603,0.010860118739736831,0.013673340544761499,0.01187414802626592,0.0010085636205201685,0.0005956102299151572,0.00032266228462882613,0.0064134211011265905,0.020876021431573688,0.001952349834533778,0.00032461935998108075,0.0009313158055397625
