,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Spain,0.08441605637902622,0.2057332911533031,0.07722713340850806,0.39676223967020513,0.01679955091487911,0.0007772764850133842,0.0019778809235788787,0.04709316767038221,0.1644044079006174,0.0031034650217605492,0.0016900698601206166,1.5460612605310542e-05
Andalusia,0.30758813281672803,0.0070094017307654926,0.08451360589551815,0.30011489349814685,0.030093495770232508,0.0036287788258568465,6.0940058279306764e-05,0.05287717135028092,0.2139247907767866,3.601660600125094e-05,0.00011561685819451267,3.715581320952434e-05
Aragon,0.033865946429304884,0.023815969423547977,0.08069537738249559,0.1212194018118379,0.00587077247757678,0.01789432163333343,0.0016936749425166553,0.36100850051933026,0.25881554298575404,0.009708737311324642,0.08540858465250395,3.1704304740332147e-06
Asturias,0.4756123771508996,0.0753095818575091,0.004319592137309845,0.2347109351279907,0.012398076610079124,1.407156337230012e-05,0.0032381805390770788,0.057839492959214193,0.0006473731172883614,0.07492392039411136,0.06086843814600805,0.00011796039714020058
Basque country,0.04807151298279276,0.1397773425550268,0.26749385014951643,0.441238060372455,0.028416402430596902,0.00463457715488682,0.0007800615873459369,0.004458774975449195,0.050820286007457485,0.012309659024214237,0.001852106387459889,0.00014736637279842677
Cantabria,0.2784362626147481,0.178670947252114,0.0015954580063806498,0.08069026703348885,0.005434722957175505,0.14299814439458516,0.018377138353138832,0.04054582075419548,0.09515556897522778,0.00448122568163529,0.15358431824476415,3.0125732546481476e-05
Castile & Leon,0.17206470843061983,0.11323882460919936,0.15049805798866817,0.35693031717582646,0.012925718729006067,0.06771620961277057,0.034751819133082375,0.024254039988436487,0.0007508127607402808,0.0207551464618295,0.04602001135789534,9.433375192550727e-05
Castile-La-Mancha,0.35088263282043713,0.1558492972803065,0.0014450121556606266,0.2528735414584695,0.014186495823999503,0.14885147717119634,0.004379188672750637,0.018989305638113636,0.02120267655059661,0.014737575249464209,0.016392395757055988,0.000210401421949349
Catalonia,0.04521487384455863,0.37170850841952174,0.1687219778252903,0.3812865717176725,0.006902627806632168,0.0020517196216239854,0.0013023293120396778,0.015664614520252407,0.005029569187698048,0.0008642208730872166,0.0011371130673711416,0.0001158738042522619
Extremadura,0.3323317812802312,0.026975210310491448,0.002201941428886118,0.03472645167907064,0.002262358329525202,0.1951417534659389,0.0031154712131360356,0.39221898340634803,0.00810682445055593,0.0027937846416863322,0.00010506098351345633,2.037881061669703e-05
Galicia,0.015183283403889377,0.13375169821344032,0.31849275230638535,0.12557707755977465,0.0019986253261888277,0.2418519551493291,0.008798483718047069,0.03568426710572316,0.018571891478675953,0.00011788371502869626,0.09982841630627015,0.00014366571724731426
